,mean_fee_for_sources
0,18.47
1,18.66
2,18.6
3,18.69
4,18.57
5,18.61
6,18.35
7,18.58
8,18.51
9,18.69
10,18.59
11,18.57
12,18.45
13,18.35
14,18.67
15,18.46
16,18.43
17,18.61
18,18.53
19,18.48
20,18.36
21,18.59
22,18.61
23,18.54
24,18.43
25,18.49
26,18.36
27,18.46
28,18.3
29,18.45
30,18.53
31,18.32
32,18.33
33,18.58
34,18.46
35,18.66
36,18.42
37,18.73
38,18.55
39,18.53
40,18.59
41,18.7
42,18.42
43,18.66
44,18.62
45,18.52
46,18.56
47,18.45
48,18.6
49,18.28
50,18.33
51,18.41
52,18.45
53,18.61
54,18.77
55,18.44
56,18.68
57,18.52
58,18.62
59,18.68
60,18.61
61,18.5
62,18.31
63,18.5
64,18.49
65,18.55
66,18.66
67,18.51
68,18.35
69,18.45
70,18.68
71,18.38
72,18.43
73,18.78
74,18.53
75,18.34
76,18.41
77,18.55
78,18.41
79,18.3
80,18.53
81,18.5
82,18.33
83,18.33
84,18.35
85,18.34
86,18.6
87,18.45
88,18.43
89,18.38
90,18.47
91,18.54
92,18.59
93,18.75
94,18.28
95,18.2
96,18.89
97,18.43
98,18.73
99,18.62
