,nodes_count
0,515
1,529
2,533
3,531
4,530
5,548
6,525
7,537
8,518
9,539
10,539
11,548
12,509
13,546
14,559
15,542
16,536
17,532
18,524
19,540
20,532
21,516
22,532
23,535
24,525
25,521
26,527
27,550
28,528
29,546
30,544
31,559
32,509
33,532
34,531
35,554
36,545
37,532
38,535
39,529
40,548
41,550
42,540
43,548
44,538
45,529
46,541
47,530
48,521
49,535
50,545
51,523
52,521
53,545
54,517
55,546
56,531
57,536
58,553
59,522
60,537
61,533
62,523
63,534
64,530
65,538
66,519
67,548
68,527
69,546
70,540
71,541
72,547
73,551
74,532
75,523
76,544
77,545
78,546
79,540
80,537
81,526
82,527
83,533
84,537
85,528
86,523
87,544
88,525
89,529
90,535
91,508
92,550
93,542
94,537
95,548
96,547
97,529
98,540
99,540
