,max_trans
0,651
1,658
2,649
3,684
4,730
5,664
6,657
7,706
8,635
9,685
10,663
11,701
12,689
13,661
14,709
15,677
16,644
17,655
18,649
19,690
20,716
21,634
22,724
23,705
24,696
25,710
26,718
27,670
28,694
29,719
30,720
31,734
32,684
33,736
34,703
35,667
36,681
37,676
38,639
39,725
40,700
41,664
42,668
43,691
44,690
45,674
46,685
47,661
48,668
49,656
50,705
51,649
52,675
53,698
54,704
55,693
56,709
57,680
58,673
59,701
60,716
61,656
62,673
63,691
64,685
65,714
66,666
67,685
68,679
69,667
70,672
71,672
72,637
73,617
74,727
75,612
76,725
77,689
78,657
79,690
80,627
81,711
82,697
83,655
84,712
85,679
86,698
87,637
88,595
89,681
90,666
91,719
92,744
93,687
94,675
95,646
96,645
97,699
98,694
99,664
