,total_top_five_trans
0,1768
1,1799
2,1753
3,1823
4,1707
5,1717
6,1805
7,1797
8,1726
9,1812
10,1635
11,1818
12,1720
13,1785
14,1771
15,1772
16,1762
17,1727
18,1744
19,1770
20,1760
21,1655
22,1864
23,1783
24,1804
25,1744
26,1808
27,1786
28,1790
29,1716
30,1817
31,1792
32,1766
33,1824
34,1775
35,1766
36,1814
37,1752
38,1758
39,1801
40,1761
41,1739
42,1717
43,1664
44,1791
45,1826
46,1843
47,1740
48,1741
49,1724
50,1820
51,1718
52,1768
53,1764
54,1802
55,1754
56,1817
57,1753
58,1731
59,1803
60,1814
61,1667
62,1761
63,1783
64,1807
65,1852
66,1760
67,1788
68,1785
69,1740
70,1775
71,1794
72,1703
73,1758
74,1777
75,1710
76,1747
77,1786
78,1764
79,1815
80,1757
81,1814
82,1811
83,1803
84,1851
85,1788
86,1785
87,1701
88,1701
89,1776
90,1770
91,1780
92,1820
93,1800
94,1774
95,1748
96,1741
97,1749
98,1742
99,1660
